"zone","year","yrwgtsum","nonNAarea","yrwgtmean","yrsd","plot_with"
8,2002,22652080.4525646,669919.938291368,33.8131158035672,0.0561261975329596,"surfaceSalinity_Winter"
8,2003,22652076.7920973,669919.938291368,33.8131103395303,0.0587519525347741,"surfaceSalinity_Winter"
8,2004,22659851.3590821,669919.938291368,33.8247155576173,0.057428906802025,"surfaceSalinity_Winter"
8,2005,22652747.0016021,669919.938291368,33.8141107717707,0.0569208383439364,"surfaceSalinity_Winter"
8,2006,22639932.6282742,669919.938291368,33.7949825557027,0.055974600665871,"surfaceSalinity_Winter"
8,2007,22655598.382991,669919.938291368,33.8183670734957,0.0576921622308778,"surfaceSalinity_Winter"
8,2008,22642488.9497611,669919.938291368,33.7987984168837,0.0736009797170763,"surfaceSalinity_Winter"
8,2009,22634850.1609223,669919.938291368,33.7873958769648,0.0591439975495101,"surfaceSalinity_Winter"
8,2010,22628175.3108396,669919.938291368,33.7774322235472,0.0662243069276151,"surfaceSalinity_Winter"
8,2011,22653776.0618776,669919.938291368,33.8156468661854,0.046643104409653,"surfaceSalinity_Winter"
8,2012,22640808.7540546,669919.938291368,33.7962903623976,0.0487675692951305,"surfaceSalinity_Winter"
8,2013,22660242.8877712,669919.938291368,33.825299998633,0.0633940725407334,"surfaceSalinity_Winter"
8,2014,22646361.5444825,669919.938291368,33.8045790997683,0.0448569337976316,"surfaceSalinity_Winter"
8,2015,22646952.917474,669919.938291368,33.8054618515088,0.0325441303032714,"surfaceSalinity_Winter"
8,2016,22657414.7612154,669919.938291368,33.8210784097622,0.0308752700340596,"surfaceSalinity_Winter"
8,2017,22637546.3896405,669919.938291368,33.7914205798646,0.0502392992690959,"surfaceSalinity_Winter"
8,2018,22621919.0604974,669919.938291368,33.7680934205282,0.0559779750491018,"surfaceSalinity_Winter"
8,2019,22647956.6796095,669919.938291368,33.8069601829932,0.0790004599358539,"surfaceSalinity_Winter"
8,2020,22655064.2511684,669919.938291368,33.8175697665458,0.0284704035409372,"surfaceSalinity_Winter"
8,2021,22670414.2769666,669919.938291368,33.8404829908295,0.0489545737152444,"surfaceSalinity_Winter"
8,2022,22672300.6518003,669919.938291368,33.8432988121327,0.0589905181231293,"surfaceSalinity_Winter"
8,2023,22599420.2634805,669919.938291368,33.7345091133133,0.0714232707340759,"surfaceSalinity_Winter"
8,2024,22638847.565755,669919.938291368,33.7933628658604,0.0355741619599383,"surfaceSalinity_Winter"
6,1998,625622258.734558,2507201.40736602,249.530116286834,137.515378805894,"seaiceDays"
6,1999,613266415.426421,2507201.40736602,244.601974785383,140.527328665965,"seaiceDays"
